book-pag,Name,B.I.,Cost,Index,MODIFIERS,description
ST-???,"Damage Comp. 9",1.8,900000,2.50,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
ST-???,"Enh. Articulation",0.6,40000,1.50,"+1RCT","Enhanced articulation is a combination of a number of extensive procedures, including joint-surface coating, relubrication, and tendon/ligament augmentation; these procedures result in a muscle and joint system of extreme fluidity. Enhanced articulation allows a character to execute motion-intensive skills (Active Skills) in a more precise and speedier fashion. Possessors of enhanced articulation roll an additional die when making any Success Test involving an Active Skill. (An individual with Athletics 4 and enhanced articulation, for example, rolls 5 dice when making an Athletics Success Test.) Enhanced articulation also adds a +1 to the Reaction Attribute. Studies show that individuals with enhanced articulation may be immune to many arthritic conditions as a long-term side effect of augmentation.\n\nThe Reaction bonus given by the augmentation has no effect on rigging or pure cybernetic decking."
ST-???,"Ext. Volume 1",0.2,8000,1.00,"","Although the volume of the air contained in the lungs of an average adult is approximately 2.5 liters, the actual tidal volume (the amount of air that enters and leaves the lungs with each breath), is only .5 liters. By augmenting the amount of flex in the diaphragm, it is possible to increase the tidal volume, thus increasing the efficiency of gas-exchange and, as a result, enhancing stamina. An average adult can hold his breath for approximately 45 seconds; each level of extended volume increases the amount of time a person can hold his breath by an additional 45 seconds. Individuals with extended volume augmentation may also apply modifiers to target numbers in tests of stamina (based on the particular rating of the system enhancement)."
ST-???,"Ext. Volume 2",0.3,15000,1.00,"","Although the volume of the air contained in the lungs of an average adult is approximately 2.5 liters, the actual tidal volume (the amount of air that enters and leaves the lungs with each breath), is only .5 liters. By augmenting the amount of flex in the diaphragm, it is possible to increase the tidal volume, thus increasing the efficiency of gas-exchange and, as a result, enhancing stamina. An average adult can hold his breath for approximately 45 seconds; each level of extended volume increases the amount of time a person can hold his breath by an additional 45 seconds. Individuals with extended volume augmentation may also apply modifiers to target numbers in tests of stamina (based on the particular rating of the system enhancement)."
ST-???,"Ext. Volume 3",0.4,25000,1.00,"","Although the volume of the air contained in the lungs of an average adult is approximately 2.5 liters, the actual tidal volume (the amount of air that enters and leaves the lungs with each breath), is only .5 liters. By augmenting the amount of flex in the diaphragm, it is possible to increase the tidal volume, thus increasing the efficiency of gas-exchange and, as a result, enhancing stamina. An average adult can hold his breath for approximately 45 seconds; each level of extended volume increases the amount of time a person can hold his breath by an additional 45 seconds. Individuals with extended volume augmentation may also apply modifiers to target numbers in tests of stamina (based on the particular rating of the system enhancement)."
ST-???,"Mnemonic Enhanc. 1",0.2,15000,1.00,"","By attaching a highly concentrated growth of gray matter to the hippocampus region of the brain, the mnemonic enhancer can increase the capacity for both short- and long-term memory. A person with a mnemonic enhancer is less likely to forget events or information that he/she encounters. For an Intelligence Test needed to recall a specific event or piece of information, the implanted character receives a +1 die for each level of enhancement. In addition, the increased retention of data facilitates the rapid comprehension of knowledge and language skills; apply a +1 die for every two levels of enhancement to Knowledge and Language Success Tests. The maximum level of mnemonic enhancer that can be implanted is equal to a character's unaugmented Body Rating. To remember something, the character must first have seen or experienced it. In general, the more specific the detail, the more difficult it is to recall. For example, to remember that a car was involved in an accident, the Target Number is 2; it is 3 to remember that the car was red, a 4 to remember the model, a 5 to recall that the driver was male, an 8 to remember seeing the long scratch on the side, and so on—assuming that the character noticed the detail in the first place.\n\nElapsed time is also an important factor in how difficult or easy it is to remember a particular fact. Apply -1 to the Target Number if the event occurred within the past hour, +0 if within 24 hours, +1 for one week or less, +2 if within the month, +3 if within three months, +4 within four months, +5 within eight months, and so on.\n\nComplexity of the item may also affect the Target Number. A single word with great personal significance might subtract -3 from the Target Number, while a complex passage from a poem once memorized in high school may be +4 or greater."
ST-???,"Mnemonic Enhanc. 2",0.4,30000,1.00,"","By attaching a highly concentrated growth of gray matter to the hippocampus region of the brain, the mnemonic enhancer can increase the capacity for both short- and long-term memory. A person with a mnemonic enhancer is less likely to forget events or information that he/she encounters. For an Intelligence Test needed to recall a specific event or piece of information, the implanted character receives a +1 die for each level of enhancement. In addition, the increased retention of data facilitates the rapid comprehension of knowledge and language skills; apply a +1 die for every two levels of enhancement to Knowledge and Language Success Tests. The maximum level of mnemonic enhancer that can be implanted is equal to a character's unaugmented Body Rating. To remember something, the character must first have seen or experienced it. In general, the more specific the detail, the more difficult it is to recall. For example, to remember that a car was involved in an accident, the Target Number is 2; it is 3 to remember that the car was red, a 4 to remember the model, a 5 to recall that the driver was male, an 8 to remember seeing the long scratch on the side, and so on—assuming that the character noticed the detail in the first place.\n\nElapsed time is also an important factor in how difficult or easy it is to remember a particular fact. Apply -1 to the Target Number if the event occurred within the past hour, +0 if within 24 hours, +1 for one week or less, +2 if within the month, +3 if within three months, +4 within four months, +5 within eight months, and so on.\n\nComplexity of the item may also affect the Target Number. A single word with great personal significance might subtract -3 from the Target Number, while a complex passage from a poem once memorized in high school may be +4 or greater."
ST-???,"Mnemonic Enhanc. 3",0.6,45000,1.00,"","By attaching a highly concentrated growth of gray matter to the hippocampus region of the brain, the mnemonic enhancer can increase the capacity for both short- and long-term memory. A person with a mnemonic enhancer is less likely to forget events or information that he/she encounters. For an Intelligence Test needed to recall a specific event or piece of information, the implanted character receives a +1 die for each level of enhancement. In addition, the increased retention of data facilitates the rapid comprehension of knowledge and language skills; apply a +1 die for every two levels of enhancement to Knowledge and Language Success Tests. The maximum level of mnemonic enhancer that can be implanted is equal to a character's unaugmented Body Rating. To remember something, the character must first have seen or experienced it. In general, the more specific the detail, the more difficult it is to recall. For example, to remember that a car was involved in an accident, the Target Number is 2; it is 3 to remember that the car was red, a 4 to remember the model, a 5 to recall that the driver was male, an 8 to remember seeing the long scratch on the side, and so on—assuming that the character noticed the detail in the first place.\n\nElapsed time is also an important factor in how difficult or easy it is to remember a particular fact. Apply -1 to the Target Number if the event occurred within the past hour, +0 if within 24 hours, +1 for one week or less, +2 if within the month, +3 if within three months, +4 within four months, +5 within eight months, and so on.\n\nComplexity of the item may also affect the Target Number. A single word with great personal significance might subtract -3 from the Target Number, while a complex passage from a poem once memorized in high school may be +4 or greater."
ST-???,"Mnemonic Enhanc. 4",0.8,60000,1.00,"","By attaching a highly concentrated growth of gray matter to the hippocampus region of the brain, the mnemonic enhancer can increase the capacity for both short- and long-term memory. A person with a mnemonic enhancer is less likely to forget events or information that he/she encounters. For an Intelligence Test needed to recall a specific event or piece of information, the implanted character receives a +1 die for each level of enhancement. In addition, the increased retention of data facilitates the rapid comprehension of knowledge and language skills; apply a +1 die for every two levels of enhancement to Knowledge and Language Success Tests. The maximum level of mnemonic enhancer that can be implanted is equal to a character's unaugmented Body Rating. To remember something, the character must first have seen or experienced it. In general, the more specific the detail, the more difficult it is to recall. For example, to remember that a car was involved in an accident, the Target Number is 2; it is 3 to remember that the car was red, a 4 to remember the model, a 5 to recall that the driver was male, an 8 to remember seeing the long scratch on the side, and so on—assuming that the character noticed the detail in the first place.\n\nElapsed time is also an important factor in how difficult or easy it is to remember a particular fact. Apply -1 to the Target Number if the event occurred within the past hour, +0 if within 24 hours, +1 for one week or less, +2 if within the month, +3 if within three months, +4 within four months, +5 within eight months, and so on.\n\nComplexity of the item may also affect the Target Number. A single word with great personal significance might subtract -3 from the Target Number, while a complex passage from a poem once memorized in high school may be +4 or greater."
ST-???,"Mnemonic Enhanc. 5",1.0,75000,1.00,"","By attaching a highly concentrated growth of gray matter to the hippocampus region of the brain, the mnemonic enhancer can increase the capacity for both short- and long-term memory. A person with a mnemonic enhancer is less likely to forget events or information that he/she encounters. For an Intelligence Test needed to recall a specific event or piece of information, the implanted character receives a +1 die for each level of enhancement. In addition, the increased retention of data facilitates the rapid comprehension of knowledge and language skills; apply a +1 die for every two levels of enhancement to Knowledge and Language Success Tests. The maximum level of mnemonic enhancer that can be implanted is equal to a character's unaugmented Body Rating. To remember something, the character must first have seen or experienced it. In general, the more specific the detail, the more difficult it is to recall. For example, to remember that a car was involved in an accident, the Target Number is 2; it is 3 to remember that the car was red, a 4 to remember the model, a 5 to recall that the driver was male, an 8 to remember seeing the long scratch on the side, and so on—assuming that the character noticed the detail in the first place.\n\nElapsed time is also an important factor in how difficult or easy it is to remember a particular fact. Apply -1 to the Target Number if the event occurred within the past hour, +0 if within 24 hours, +1 for one week or less, +2 if within the month, +3 if within three months, +4 within four months, +5 within eight months, and so on.\n\nComplexity of the item may also affect the Target Number. A single word with great personal significance might subtract -3 from the Target Number, while a complex passage from a poem once memorized in high school may be +4 or greater."
ST-???,"Mnemonic Enhanc. 6",1.2,90000,1.00,"","By attaching a highly concentrated growth of gray matter to the hippocampus region of the brain, the mnemonic enhancer can increase the capacity for both short- and long-term memory. A person with a mnemonic enhancer is less likely to forget events or information that he/she encounters. For an Intelligence Test needed to recall a specific event or piece of information, the implanted character receives a +1 die for each level of enhancement. In addition, the increased retention of data facilitates the rapid comprehension of knowledge and language skills; apply a +1 die for every two levels of enhancement to Knowledge and Language Success Tests. The maximum level of mnemonic enhancer that can be implanted is equal to a character's unaugmented Body Rating. To remember something, the character must first have seen or experienced it. In general, the more specific the detail, the more difficult it is to recall. For example, to remember that a car was involved in an accident, the Target Number is 2; it is 3 to remember that the car was red, a 4 to remember the model, a 5 to recall that the driver was male, an 8 to remember seeing the long scratch on the side, and so on—assuming that the character noticed the detail in the first place.\n\nElapsed time is also an important factor in how difficult or easy it is to remember a particular fact. Apply -1 to the Target Number if the event occurred within the past hour, +0 if within 24 hours, +1 for one week or less, +2 if within the month, +3 if within three months, +4 within four months, +5 within eight months, and so on.\n\nComplexity of the item may also affect the Target Number. A single word with great personal significance might subtract -3 from the Target Number, while a complex passage from a poem once memorized in high school may be +4 or greater."
ST-???,"Muscle Augm. 1",0.8,45000,0.90,"+1QCK,+1STR","The process of muscle replacement has been slowly evolving toward the procedure now known as muscle augmentation. With the development and improvement of biosurgical techniques, the actual removal and replacement of the natural muscle becomes obsolete and unnecessary. Using a biological weaving treatment, an air-injected fluorinated polymer Teflon (TM) known as Gortex (™) is braided into existing muscle fibers. Gorlex, which is chemically inert, is more than four times as strong as natural muscles and ligaments, and, when braided into cables and incorporated into existing tissues, it can increase muscular system performance enormously. Muscles may be enhanced in this fashion to a maximum Level 4 augmentation.\n\nQuickness acquired through muscle augmentation can increase the calculated Reaction Rating.\n\nBonuses accrued through muscle augmentation do not affect rigging or decking except as they help the character lift bigger engines or carry heavier decks."
ST-???,"Muscle Augm. 2",1.6,90000,0.90,"+2QCK,+2STR","The process of muscle replacement has been slowly evolving toward the procedure now known as muscle augmentation. With the development and improvement of biosurgical techniques, the actual removal and replacement of the natural muscle becomes obsolete and unnecessary. Using a biological weaving treatment, an air-injected fluorinated polymer Teflon (TM) known as Gortex (™) is braided into existing muscle fibers. Gorlex, which is chemically inert, is more than four times as strong as natural muscles and ligaments, and, when braided into cables and incorporated into existing tissues, it can increase muscular system performance enormously. Muscles may be enhanced in this fashion to a maximum Level 4 augmentation.\n\nQuickness acquired through muscle augmentation can increase the calculated Reaction Rating.\n\nBonuses accrued through muscle augmentation do not affect rigging or decking except as they help the character lift bigger engines or carry heavier decks."
ST-???,"Muscle Augm. 3",2.4,135000,0.90,"+3QCK,+3STR","The process of muscle replacement has been slowly evolving toward the procedure now known as muscle augmentation. With the development and improvement of biosurgical techniques, the actual removal and replacement of the natural muscle becomes obsolete and unnecessary. Using a biological weaving treatment, an air-injected fluorinated polymer Teflon (TM) known as Gortex (™) is braided into existing muscle fibers. Gorlex, which is chemically inert, is more than four times as strong as natural muscles and ligaments, and, when braided into cables and incorporated into existing tissues, it can increase muscular system performance enormously. Muscles may be enhanced in this fashion to a maximum Level 4 augmentation.\n\nQuickness acquired through muscle augmentation can increase the calculated Reaction Rating.\n\nBonuses accrued through muscle augmentation do not affect rigging or decking except as they help the character lift bigger engines or carry heavier decks."
ST-???,"Muscle Augm. 4",3.2,180000,0.90,"+4QCK,+4STR","The process of muscle replacement has been slowly evolving toward the procedure now known as muscle augmentation. With the development and improvement of biosurgical techniques, the actual removal and replacement of the natural muscle becomes obsolete and unnecessary. Using a biological weaving treatment, an air-injected fluorinated polymer Teflon (TM) known as Gortex (™) is braided into existing muscle fibers. Gorlex, which is chemically inert, is more than four times as strong as natural muscles and ligaments, and, when braided into cables and incorporated into existing tissues, it can increase muscular system performance enormously. Muscles may be enhanced in this fashion to a maximum Level 4 augmentation.\n\nQuickness acquired through muscle augmentation can increase the calculated Reaction Rating.\n\nBonuses accrued through muscle augmentation do not affect rigging or decking except as they help the character lift bigger engines or carry heavier decks."
ST-???,"Nephritic Screen",0.4,20000,1.00,"","With the installation of a nephritic screen, the kidney is rebuilt to enable a more effective cycle of filtration and reclamation. Finer discrimination in the removal of waste products and the reclamation of useful materials extends a greater level of well-being to the recipient. Characters possessing a nephritic screen add +1 to their Body Attribute for tests to resist toxins and pathogenic agents. In addition, the screen acts to combat the effects of pathogens and blood-vectored toxins. Reduce the attack's Power Level by 1 point."
