Book-Page,Name,Essence Cost,Cost,Index,Modifiers,description
SSC2-???,Cybergun Heavy,0.00,800,2.00,,
SSC2-???,Cybergun Shotgun,0.00,1200,2.00,,
SSC2-???,Int. Voice Mask,0.10,7000,1.00,,
SSC2-???,Ear Hearing Amp,0.20,3500,1.25,,
SSC2-???,Ear Sound Filter 1,0.20,10000,1.25,,
SSC2-???,Ear Sound Filter 2,0.20,20000,1.25,,
SSC2-???,Ear Sound Filter 3,0.20,30000,1.25,,
SSC2-???,Ear Sound Filter 4,0.20,40000,1.25,,
SSC2-???,Ear Sound Filter 5,0.20,50000,1.25,,
SSC2-???,Eye Optical Mag 1,0.20,2500,1.00,,
SSC2-???,Eye Optical Mag 2,0.20,4000,1.00,,
SSC2-???,Eye Optical Mag 3,0.20,6000,1.00,,
SSC2-???,Eye Electric Mag 1,0.10,3500,1.00,,
SSC2-???,Eye Electric Mag 2,0.10,7500,1.00,,
SSC2-???,Eye Electric Mag 3,0.10,11000,1.00,,
SSC2-???,Eye Rangefinder,0.10,2000,1.50,,
SSC2-???,Scramble Breaker 1,0.20,20000,1.50,,
SSC2-???,Scramble Breaker 2,0.20,40000,1.50,,
SSC2-???,Scramble Breaker 3,0.20,60000,1.50,,
SSC2-???,Scramble Breaker 4,0.20,80000,1.50,,
SSC2-???,Scramble Breaker 5,0.20,200000,1.75,,
SSC2-???,Scramble Breaker 6,0.20,240000,1.75,,
SSC2-???,Scramble Breaker 7,0.20,280000,1.75,,
SSC2-???,Scramble Breaker 8,0.20,600000,1.75,,
SSC2-???,Sense Link,2.00,300000,1.00,,
SSC2-???,Sense Link (Trans),0.60,80000,1.50,,
SSC2-???,Skill Hardwires 1,0.20,5000,1.00,,
SSC2-???,Skill Hardwires 2,0.40,10000,1.00,,
SSC2-???,Skill Hardwires 3,0.60,15000,1.00,,
SSC2-???,Skill Hardwires 4,0.80,20000,1.00,,
SSC2-???,Skill Hardwires 5,1.25,250000,1.50,,
SSC2-???,Skill Hardwires 6,1.50,300000,1.50,,
SSC2-???,Skill Hardwires 7,1.75,350000,1.50,,
SSC2-???,Skill Hardwires 8,2.00,400000,1.50,,
SSC2-???,Skill Hardwires 9,2.70,4500000,1.50,,
SSC2-???,Skill Hardwires 10,3.00,5000000,1.50,,
SSC2-???,Video Link,0.50,22000,1.00,,
SSC2-???,Video Link (Trans),0.40,4500,1.00,,
ST-???,Bone Lac. Plastic,0.50,7500,1.50,+1BOD,
ST-???,Bone Lac. Aluminum,1.15,25000,1.50,+1BOD,
ST-???,Bone Lac. Titanium,2.25,75000,1.50,+2BOD,
ST-???,Chem. Analyzer 1,0.20,2500,1.00,,
ST-???,Chem. Analyzer 2,0.20,5000,1.00,,
ST-???,Chem. Analyzer 3,0.20,7500,1.00,,
ST-???,Chem. Analyzer 4,0.20,10000,1.00,,
ST-???,Chem. Analyzer 5,0.20,12500,1.00,,
ST-???,Chem. Analyzer 6,0.20,15000,1.00,,
ST-???,Datajack 1,0.10,500,0.90,,
ST-???,Datajack 2,0.15,1000,0.90,,
ST-???,Datajack 3,0.20,2000,0.90,,
ST-???,Datajack 4,0.25,4000,0.90,,
ST-???,Encephalon 1,0.50,15000,2.00,+1INT,
ST-???,Encephalon 2,0.75,40000,2.00,+1INT,
ST-???,Encephalon 3,1.50,75000,2.00,+2INT,
ST-???,Encephalon 4,1.75,115000,2.00,+2INT,
ST-???,Gas Spectrometer 1,0.20,2000,1.00,,
ST-???,Gas Spectrometer 2,0.20,4000,1.00,,
ST-???,Gas Spectrometer 3,0.20,6000,1.00,,
ST-???,Gas Spectrometer 4,0.20,8000,1.00,,
ST-???,Gas Spectrometer 5,0.20,10000,1.00,,
ST-???,Gas Spectrometer 6,0.20,12000,1.00,,
ST-???,Hydraulic Jack 1,0.25,5000,1.00,,
ST-???,Hydraulic Jack 2,0.25,10000,1.00,,
ST-???,Hydraulic Jack 3,0.25,15000,1.00,,
ST-???,Hydraulic Jack 4,0.25,20000,1.00,,
ST-???,Hydraulic Jack 5,0.25,25000,1.00,,
ST-???,Hydraulic Jack 6,0.25,30000,1.00,,
ST-???,Olfactory Boost 1,0.20,1000,1.00,,
ST-???,Olfactory Boost 2,0.20,2000,1.00,,
ST-???,Olfactory Boost 3,0.20,3000,1.00,,
ST-???,Olfactory Boost 4,0.20,4000,1.00,,
ST-???,Olfactory Boost 5,0.20,5000,1.00,,
ST-???,Olfactory Boost 6,0.20,6000,1.00,,
ST-???,Orientation System,0.50,15000,1.50,,
ST-???,Skillwires+ 1,0.10,15000,1.00,,
ST-???,Skillwires+ 2,0.20,30000,1.00,,
ST-???,Skillwires+ 3,0.30,45000,1.00,,
ST-???,Skillwires+ 4,0.80,500000,1.00,,
ST-???,Skillwires+ 5,1.00,625000,1.00,,
ST-???,Skillwires+ 6,1.20,750000,1.00,,
ST-???,Skillwires+ 7,2.10,7000000,1.00,,
ST-???,Skillwires+ 8,2.40,8000000,1.00,,
ST-???,Skillwires+ 9,2.70,9000000,1.00,,
ST-???,Softlink 1,0.15,1000,0.90,,
ST-???,Softlink 2,0.20,2000,0.90,,
ST-???,Softlink 3,0.25,4000,0.90,,
ST-???,Softlink 4,0.30,8000,0.90,,
ST-???,SPU - Data 1,0.10,9500,1.00,,
ST-???,SPU - Data 2,0.15,19000,1.00,,
ST-???,SPU - Data 3,0.20,28500,1.00,,
ST-???,SPU - Data 4,0.25,38000,1.00,,
ST-???,SPU - I/O 1,0.10,5000,1.50,,
ST-???,SPU - I/O 2,0.15,7500,1.50,,
ST-???,SPU - I/O 3,0.20,12500,1.50,,
ST-???,SPU - I/O 4,0.25,22500,1.50,,
ST-???,SPU - Math 1,0.10,2000,1.00,,
ST-???,SPU - Math 2,0.15,5000,1.00,,
ST-???,SPU - Math 3,0.20,11000,1.00,,
ST-???,SPU - Math 4,0.25,23000,1.00,,
ST-???,Tactical Comp 1,3.50,350000,4.00,,
ST-???,Tactical Comp 2,4.00,900000,4.00,,
FOF-???,Smartlink II,0.50,3200,2.00,,
CT-???,Subvocal Mic Ext,0.00,500,1.25,,"The external unit straps in place at the center of the throat. Either type of microphone adds a +4 modifier to the target number for Perception Tests made to overhear conversations using the system. Both units can connect to an external radio transceiver, the external unit via fiber-optic cable and the Internal via a datajack (mandatory for such a hookup)."
CT-???,Subvocal Mic Int,0.10,850,2.00,,"The external unit straps in place at the center of the throat. Either type of microphone adds a +4 modifier to the target number for Perception Tests made to overhear conversations using the system. Both units can connect to an external radio transceiver, the external unit via fiber-optic cable and the Internal via a datajack (mandatory for such a hookup)."
CT-???,Sub Speakers,0.10,650,2.00,,"Usually mounted under the skin just behind the ear, these tiny speakers vibrate various bones in the ear to transmit sound. Sound comIng over them cannot be overheard."
CT-???,Cybercomm Link,0.40,62000,3.00,,"The cybercomm link consists of a transducer and a radio transmitter. The transducer translates thoughts Into words, so that the user need not speak aloud; the transmitter sends and receives these unspoken Impulses. No external evidence of this system's use is visible or audible. Quadruples the number of spoken words allowed in a Free Action (p. 81, SRII)."
CT-???,Retinal Clock,0.10,450,1.00,,"Displays a time/date stamp in the lower right corner of the wearer's field of vision or wherever the user wants. Can be modified for region and season and includes a stopwatch style timer and a countdown timer. Accurate to +/- . 0001 seconds per year."
CT-???,Image Link,0.20,1600,2.00,,"Allows the display of a vidiphone image within the field of vision and functions as a Display Link (p. 247, SRII)."
CT-???,Protective Covers,0.00,500,1.50,,"Protects cyber and normal eyes against impact and particles. Available in standard transparent or one-way reflective material; one-way adds 20 percent to the price. At the gamemaster's discretion, covers give 1 point of Impact Armor to the eye area."
CT-???,Eye Dataport,0.25,2200,2.00,,"One type is an eye dataport, the other an optical scanning datajack. The dataport sits behind the iris of the cybereye, You reach up, apply a little pressure to the iris, and it opens to reveal a standard dataport. This toy is handy for sleazing your way into places that someone might try to keep you out of if you happened to be wearing a standard (and visible) datajack. It's tough to tell what's buried in a cybereye without dissecting the whole thing. Drawback is, you end up standing around with your eye plugged into something. Very weird-likely to attract attention if anyone happens along."
CT-???,Optical Scan DJ,0.30,5500,3.00,,"The optical scanning datajack includes an emitter unit and a data receptor. The receptor sits In your eye; the emitter you carry around (it's no bigger than a silver oxide battery). You stick the emitter unit onto the data-out port on whatever you came hunting for and you look at it. The data receptor in your eye reads the laser beam put out by the emitter and decodes the data transmitted over it. Dozens of uses for this, neh? It's cutting edge drek, but becoming more available."
CT-???,Eye Light Systems,0.20,1200,1.50,,"Eye lights, another nifty new piece of work, can be either a tool or a weapon. The plain-vanilla light system mounts high-powered, low-heat lights in the cybereye that channel a tight, polarized beam outward down a path parallel to the optical center of the eye. An amount of light sufficient to see with standard low-light eyes falls wherever the user is looking. The tight beam and polarization minimize scatter from the eye, so the light can't be seen unless someone's staring right at you."
CT-???,Eye L BrightLight,0.40,1200,3.00,,"You can also get a nasty, nasty high-intensity BrightLight flash system. Brights come in two intensities; the first is reusable and works just like a flash-pak. The second is a one-shot deal until the flash units are replaced; this puppy creates a flash bright enough to overload the optic nerves of the poor bastard in front of you, blinding and stunning him at the same time."
CT-???,Eye L /w Flash-pak,0.00,1000,3.00,,"You can also get a nasty, nasty high-intensity BrightLight flash system. Brights come in two intensities; the first is reusable and works just like a flash-pak. The second is a one-shot deal until the flash units are replaced; this puppy creates a flash bright enough to overload the optic nerves of the poor bastard in front of you, blinding and stunning him at the same time."
CT-???,Eye L one shot FP,0.00,500,3.00,,"You can also get a nasty, nasty high-intensity BrightLight flash system. Brights come in two intensities; the first is reusable and works just like a flash-pak. The second is a one-shot deal until the flash units are replaced; this puppy creates a flash bright enough to overload the optic nerves of the poor bastard in front of you, blinding and stunning him at the same time."
CT-???,Eye Dart,0.25,4200,2.00,,"Fires half-strength (round up) Narcoject/toxin rounds as a hold-out pistol with one-half range (round down). One shot per reload. Reloading takes 10 Combat Turns. Rounds cost four times the normal price. Firing requires a Special Skill or Quickness Test. Cannot be linked to any kind of aim enhancer. See p. 62, Street Samurai Catalog, for Narcoject weapons; p. 186, SRII, for toxins; and pp. 90, 92, 97, Shadowtech, for other compounds. After firing, a character must apply a +2 modifier to all visual tests for a period of (4 - Unaugmented Body) Combat Turns, for a minimum of 1 Combat Turn, For rules on the maximum capacity of the orbital socket, see Cyberware Rules, p. 45."
CT-???,Eye Gun,0.40,6400,3.00,,"Treat as a hold-out pistol with one-half range (round down), a -1 Damage modifier, and a +1 recoil modifier. One shot per reload. Reloading takes 10 Combat Turns, but a successful Biotech Test reduces the reload time by half the character's Quickness. Rounds cost five times the normal price. Firing requires a Special Skill or Quickness Test. Cannot be linked to any kind of aim enhancer. After firing, a character must apply a +2 modifier for all visual tests for a period of (6 - Unaugmented Body) Combat Turns, for a minimum of 2 Combat Turns."
CT-???,Laser Designator,0.50,12000,3.00,,"See pp. 60 and 85, Fields of Fire, for more information on laser designators. Maximum range is 1,000 meters."
CT-???,Laser Tracker,0.20,3200,2.00,,"Ties into a cyberlimb or external weapon mount and auto-tracks a designated target. This function is built into the unit and does not require an additional laser designator."
CT-???,Tool Laser,0.25,5200,2.00,,"The tool laser has a Damage Code of 4L. If it is used as a weapon, make Combat Tests using the character's Quickness or a Special Skill. These tests have a Base Target Number 4, with a +1 modifier to the target number for each meter or part thereof beyond 1. The Power of the attack is -1 against targets up to two meters away and -2 against targets up to four meters away. Will not penetrate reflective metals or silvered glass, but can cut mirrored plastics."
CT-???,Spatial Recognizer,0.20,1200,2.00,,"This cyberear accessory reduces the target numbers for Perception Tests based primarily on sound location by -2 whenever a character attempts to track something by listening for movement. For additional rules in cases of restricted vision, see Cyberware Rules, p. 46."
CT-???,Balance Augmentor,0.40,14000,2.00,,"This device reduces the target numbers by -2 for any Skill Tests involving balance, such as climbing, walking across a narrow platform, landing after a jump, and so on. It also applies a -2 modifier in the character's favor to avoid Knockdown (see pp. 91-92 and p. 103, SRII)."
CT-???,Oral Dart,0.25,3600,2.00,,"Fires Narcoject/toxin rounds at hold-out pistol ranges. Can hold three darts before reloading, which takes 1 minute per dart. Ammo costs double the standard price. Use a Special Skill or Quickness for the Ranged Combat Test. Cannot be linked to aim enhancers."
CT-???,Oral Gun,0.40,5600,3.00,,"Treat as a hold-out pistol with a total of four shots. Reloading takes one minute per shot. Ammo costs triple the standard price. Use a Special Skill or Quickness for the Ranged Combat Test. Cannot be linked to alm enhancers."
CT-???,Oral Spur,0.25,8200,2.50,,"Treat as a cyberspur: use a Special Skill or Quickness for the Melee Combat Test."
CT-???,Oral Whip,0.25,10500,2.50,,"Range equals one meter. Damage is 6M. Use a Special Skill or Quickness for the Ranged Combat Test."
CT-???,Tooth Compar Break,0.00,700,1.50,,"To break the breakable tooth takes a successful Willpower (2) Test If the contents are non-lethal to the user. If the contents are lethal, a Willpower (4) Test is required. Tooth contents take effect immediately. The contents of either type of tooth compartment can be removed or replaced in three minutes."
CT-???,Tooth Compar Stor,0.00,1500,1.25,,"To remove a storage tooth takes 2 Complex Actions and a successful Quickness (4) Test."
CT-???,Cranial Bomb Kink,0.00,28000,1.50,,"If built to do so, all cranial bombs will kill the bearer. At the gamemaster's discretion, kink bombs may have a permanent physiological effect such as blindness, stuttering, and so on."
CT-???,Cranial Bomb Micro,0.00,65500,1.25,,"If built to do so, all cranial bombs will kill the bearer."
CT-???,Cranial Bomb Area,0.00,500000,1.00,,"Area bombs can be purchased at Power Levels of 3 through 8 and Damage Levels of M through D. All reduce their blast effects at a rate of -1 per meter. All kill the bearer regardless of blast size."
CT-???,Dermal Sheath Lv1,0.70,24000,1.50,+2BOD,"The dermal sheath boosts the character's Body Attribute by a number of points equal to the sheath's level plus 1: for example, Level 2 sheathing adds 3 points. It also provides Impact Armor equal to one-half the level, rounded up."
CT-???,Dermal Sheath Lv2,1.40,60000,1.50,+3BOD,"The dermal sheath boosts the character's Body Attribute by a number of points equal to the sheath's level plus 1: for example, Level 2 sheathing adds 3 points. It also provides Impact Armor equal to one-half the level, rounded up."
CT-???,Dermal Sheath Lv3,2.10,120000,1.50,+4BOD,"The dermal sheath boosts the character's Body Attribute by a number of points equal to the sheath's level plus 1: for example, Level 2 sheathing adds 3 points. It also provides Impact Armor equal to one-half the level, rounded up."
CT-???,DS Coloration Lv1,0.00,30000,1.75,+2BOD,"Coloration may be purchased as a camouflage pattern (urban, desert, winter, or wilderness), or a solid color (red, green, blue, or black). The coloration intensity can be varied in 10-percent increments using a hand-control or the cyber-controller. Such devices enable the sheath to function as camouflage clothing (see p. 77. Fields of Fire)."
CT-???,DS Coloration Lv2,0.00,75000,1.75,+3BOD,"Coloration may be purchased as a camouflage pattern (urban, desert, winter, or wilderness), or a solid color (red, green, blue, or black). The coloration intensity can be varied in 10-percent increments using a hand-control or the cyber-controller. Such devices enable the sheath to function as camouflage clothing (see p. 77. Fields of Fire)."
CT-???,DS Coloration Lv3,0.00,150000,1.75,+4BOD,"Coloration may be purchased as a camouflage pattern (urban, desert, winter, or wilderness), or a solid color (red, green, blue, or black). The coloration intensity can be varied in 10-percent increments using a hand-control or the cyber-controller. Such devices enable the sheath to function as camouflage clothing (see p. 77. Fields of Fire)."
CT-???,DS Cyber Control,0.10,32000,1.50,,"The coloration intensity can be varied in 10-percent increments using a hand-control or the cyber-controller."
CT-???,Fingertip Picks,0.00,18000,3.00,,"These lock picks have a Skill Rating of 3, and using them is a Complex Action. Most key-and-tumbler locks have a Rating of 2 or 3 depending on their complexity. Resolve attempts to open the lock with an Opposed Test between the lock's rating and that of the ExpertPicks."
CT-???,Fingertip Needle,0.00,800,1.50,,"Holds one dose of any chemical, poison, toxin, or other appropriate compound. To use the needle, a player character must make a successful Unarmed Combat Test. All standard modifiers apply. The needle will not pierce Hardened Armor. Replacing the dose takes two minutes."
CT-???,Cyberarm/Leg,1.00,100000,1.00,,"The presence of a cyberlimb adds to the Power of any unarmed combat attack using that limb. See General Rules for Cyberlimbs, p. 49 of Cyberware Rules. Also, cyberlimbs reduce Essence loss from some types of cyberware. If the cyberware in question exists entirely in the limb and has minimal neurological connections, the limb offsets Essence loss somewhat."
CT-???,Cyberhand/Foot,0.35,45000,1.00,,"The presence of a cyberlimb adds to the Power of any unarmed combat attack using that limb. See General Rules for Cyberlimbs, p. 49 of Cyberware Rules."
CT-???,Cyber Forearm/Leg,0.65,70000,1.00,,"The presence of a cyberlimb adds to the Power of any unarmed combat attack using that limb. See General Rules for Cyberlimbs, p. 49 of Cyberware Rules."
CT-???,Strength Lv1,0.00,150000,1.50,,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Strength Lv2,0.00,300000,1.50,,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Strength Lv3,0.00,450000,1.50,,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Strength Lv4,0.40,175000,1.50,,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Strength Lv5,0.80,350000,1.50,,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Strength Lv6,1.20,525000,1.50,,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv1,0.00,90000,1.50,+1QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv2,0.00,180000,1.50,+2QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv3,0.00,270000,1.50,+3QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv4,0.30,110000,1.50,+4QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv5,0.60,220000,1.50,+5QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv6,0.90,330000,1.50,+6QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Body Enhance Lv1,0.00,75000,1.50,+1BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv2,0.00,150000,1.50,+2BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv3,0.00,225000,1.50,+3BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv4,0.00,300000,1.50,+4BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv5,0.00,375000,1.50,+5BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv6,0.00,450000,1.50,+6BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Magnetic Cyberlimb,0.00,2800,2.00,,"Each limb system can only hold about 25 kilograms. Multiple systems are cumulative. The weight the magnets can hold is subtracted from the weight of anything being held (see Dangling and Holding, p. 51 of Cyberware Rules)."
CT-???,Cyberarm Gyromount,1.50,260000,2.00,,"This piece of cyberware works like a standard gyromount and provides 3 points of recoil reduction. It can be used with any weapon up to and including a light machine gun."
CT-???,Direct NeuralInter,0.10,4500,1.00,,"Allows cybernetic control of any device not originally designed to be cybernetically controlled that is placed in a cyberlimb, at a 50 percent increase in the device's cost."
